"","FIPS","num_acute_beds"
"1388",31181,12
"1389",31185,21
"1390",32001,17
"1391",32003,772
"1392",32005,15
"1393",32007,52
"1394",32013,0
"1395",32015,0
"1396",32017,0
"1397",32019,0
"1398",32021,0
"1399",32023,25
"1400",32027,0
"1401",32031,412
"1402",32033,0
"1403",32510,144
"1404",33001,66
"1405",33003,39
"1406",33005,39
"1407",33007,43
"1408",33009,247
"1409",33011,371
"1410",33013,196
"1411",33015,64
"1412",33017,138
"1413",33019,25
"1414",34001,382
"1415",34003,1362
"1416",34005,504
"1417",34007,1179
"1418",34009,149
"1419",34011,188
"1420",34013,1266
"1421",34015,243
"1422",34017,292
"1423",34019,0
"1424",34021,427
"1425",34023,1110
"1426",34025,986
"1427",34027,548
"1428",34029,699
"1429",34031,570
"1430",34033,198
"1431",34035,158
"1432",34037,103
"1433",34039,536
"1434",34041,152
"1435",35001,871
"1436",35005,18
"1437",35006,14
"1438",35007,17
"1439",35009,50
"1440",35013,91
"1441",35015,65
"1442",35017,24
"1443",35019,10
"1444",35025,80
"1445",35027,16
"1446",35028,0
"1447",35029,0
"1448",35031,0
"1449",35035,32
"1450",35037,10
"1451",35039,27
"1452",35041,0
"1453",35043,48
"1454",35045,118
"1455",35047,0
"1456",35049,143
"1457",35051,15
"1458",35053,10
"1459",35055,15
"1460",35059,0
"1461",36001,889
"1462",36003,18
"1463",36005,2539
"1464",36007,377
"1465",36009,138
"1466",36011,143
"1467",36013,51
"1468",36015,181
"1469",36017,41
"1470",36019,134
"1471",36021,0
"1472",36023,35
"1473",36025,15
"1474",36027,332
"1475",36029,1485
"1476",36031,0
"1477",36033,58
"1478",36035,38
"1479",36037,86
"1480",36043,0
"1481",36045,79
"1482",36047,1765
"1483",36049,13
"1484",36051,30
"1485",36053,48
"1486",36055,1094
"1487",36057,70
"1488",36059,2525
"1489",36061,5180
"1490",36063,150
"1491",36065,290
"1492",36067,1006
"1493",36069,204
"1494",36071,272
"1495",36073,0
"1496",36075,55
"1497",36077,53
"1498",36079,96
"1499",36081,1068
"1500",36083,142
"1501",36085,584
"1502",36087,120
"1503",36089,81
"1504",36091,115
"1505",36093,281
"1506",36095,0
"1507",36097,21
"1508",36101,75
"1509",36103,1513
"1510",36105,47
"1511",36109,77
"1512",36111,25
"1513",36113,195
"1514",36117,55
"1515",36119,1097
"1516",36121,0
"1517",36123,25
"1518",37001,114
"1519",37005,25
"1520",37007,15
"1521",37009,18
"1522",37011,21
"1523",37013,0
"1524",37015,6
"1525",37017,0
"1526",37019,25
"1527",37021,541
"1528",37023,98
"1529",37025,265
"1530",37027,60
"1531",37031,80
"1532",37035,264
"1533",37037,21
"1534",37039,15
"1535",37041,13
"1536",37045,154
"1537",37047,58
"1538",37049,118
"1539",37051,405
"1540",37055,0
"1541",37057,42
