FIPS,State,County,population,hospitalizations_per_case,severe_cases_rate,critical_case_rate,case_fatality_rate
20129,Kansas,Morton County,2838,0.079822762508809,0.0538445739957717,0.0259781885130374,0.0105517477096547
20131,Kansas,Nemaha County,10104,0.0809816904196358,0.051436225554236,0.0295454648653998,0.011980825415677
20133,Kansas,Neosho County,16125,0.0792546976744186,0.0523759792868217,0.0268787183875969,0.0105321637209302
20135,Kansas,Ness County,2955,0.097106937394247,0.0612506822335025,0.0358562551607445,0.0145069509306261
20137,Kansas,Norton County,5486,0.0843878964637259,0.0536897482683194,0.0306981481954065,0.0125714509660955
20139,Kansas,Osage County,15882,0.0822718801158544,0.0553068114217353,0.0269650686941191,0.0102840334970407
20141,Kansas,Osborne County,3603,0.0943313905079101,0.059026519289481,0.0353048712184291,0.0141495309464335
20143,Kansas,Ottawa County,5902,0.0823834293459844,0.0551991516435107,0.0271842777024737,0.0106371772280583
20145,Kansas,Pawnee County,6709,0.0893452079296467,0.0601717631539723,0.0291734447756745,0.010664131763303
20147,Kansas,Phillips County,5408,0.0878951553254438,0.0576590049926036,0.0302361503328402,0.0115502218934911
20149,Kansas,Pottawatomie County,23545,0.065590443830962,0.0460716392440009,0.0195188045869611,0.0073426341049055
20151,Kansas,Pratt County,9582,0.0780423711125026,0.0514456568566061,0.0265967142558965,0.0101729868503444
20153,Kansas,Rawlins County,2509,0.0980330809087286,0.0625734886408928,0.0354595922678358,0.0144053009166999
20155,Kansas,Reno County,63101,0.0796744901031679,0.0526903747008764,0.0269841154022916,0.0105529335509738
20157,Kansas,Republic County,4686,0.103805804524114,0.0644290697823304,0.039376734741784,0.0158070294494238
20159,Kansas,Rice County,9762,0.0773934644540053,0.0505974697807826,0.0267959946732227,0.0105584572833436
20161,Kansas,Riley County,75296,0.045250571079473,0.0327955147816617,0.0124550562978113,0.00482251035911602
20163,Kansas,Rooks County,5118,0.0863171160609613,0.0561579738178976,0.0301591422430637,0.0121790973036342
20165,Kansas,Rush County,3102,0.0954542230818827,0.0591579074790458,0.0362963156028369,0.0149169116698904
20167,Kansas,Russell County,6977,0.0953783861258421,0.0614016958578185,0.0339766902680235,0.013860266590225
